"material_id","material_code","material_name","material_type","unit","is_virtual","is_assembly","created_date","status"
M0096,PART-POWER-REG-5V,"5V稳压芯片",零件,颗,否,否,"2024-01-01",Active
M0104,PART-POWER-REG-5V-3A,"5V 3A稳压模块",零件,颗,否,否,"2024-01-01",Active
M0087,PART-PROP-1755-CF,"1755碳纤维螺旋桨",零件,副,否,否,"2024-01-01",Active
M0039,PART-PROP-3016-CF,"3016碳纤螺旋桨",零件,副,否,否,"2024-01-01",Active
M0079,PART-PROP-9045,"9045塑料螺旋桨",零件,副,否,否,"2024-01-01",Active
M0083,PART-PROP-9450-CF,"9450碳纤维螺旋桨",零件,副,否,否,"2024-01-01",Active
M0027,PART-RADAR-ALT,雷达测高仪,零件,个,否,否,"2024-01-01",Active
M0009,PART-RC-ADV,高级遥控器,零件,个,否,否,"2024-01-01",Active
M0006,PART-RC-BASIC,基础遥控器,零件,个,否,否,"2024-01-01",Active
M0025,PART-RC-IND,工业遥控器,零件,个,否,否,"2024-01-01",Active
M0015,PART-RC-PRO,专业遥控器,零件,个,否,否,"2024-01-01",Active
M0106,PART-RES-SMD-0201,"0201贴片电阻",零件,颗,否,否,"2024-01-01",Active
M0099,PART-RES-SMD-0402,"0402贴片电阻",零件,颗,否,否,"2024-01-01",Active
M0114,PART-SCREW-M2.5-8,M2.5x8螺钉,零件,颗,否,否,"2024-01-01",Active
M0046,PART-SCREW-M3-10,M3x10螺钉,零件,颗,否,否,"2024-01-01",Active
M0052,PART-SCREW-M3-12,M3x12螺钉,零件,颗,否,否,"2024-01-01",Active
M0058,PART-SCREW-M4-16,M4x16螺钉,零件,颗,否,否,"2024-01-01",Active
M0032,PART-SPOTLIGHT-50W,"50W强光照明灯",零件,个,否,否,"2024-01-01",Active
M0026,PART-SPRAYER-16L,"16升智能喷洒系统",零件,套,否,否,"2024-01-01",Active
M0035,PART-SPRAYER-20L,"20升智能喷洒系统",零件,套,否,否,"2024-01-01",Active
M0041,PART-SPRAYER-30L,"30升智能喷洒系统",零件,套,否,否,"2024-01-01",Active
M0112,RAW-ABS-PELLET,ABS塑料粒子,原材料,千克,否,否,"2024-01-01",Active
M0123,RAW-AL-ALLOY,铝合金材料,原材料,千克,否,否,"2024-01-01",Active
M0113,RAW-CF-PLATE-3MM,"3mm碳纤维板",原材料,平米,否,否,"2024-01-01",Active
M0115,RAW-CF-TUBE-16MM,"16mm碳纤维管",原材料,米,否,否,"2024-01-01",Active
M0122,RAW-COPPER-WIRE,铜漆包线,原材料,千克,否,否,"2024-01-01",Active
M0125,RAW-FR4-CCL,FR4覆铜板,原材料,平米,否,否,"2024-01-01",Active
M0124,RAW-LIPO-CELL,锂聚合物电芯,原材料,千克,否,否,"2024-01-01",Active
M0121,RAW-NEODYMIUM,钕铁硼磁性材料,原材料,千克,否,否,"2024-01-01",Active
M0120,RAW-SI-WAFER-12IN,"12英寸硅晶圆",原材料,片,否,否,"2024-01-01",Active
M0119,RAW-SI-WAFER-8IN,"8英寸硅晶圆",原材料,片,否,否,"2024-01-01",Active
M0019,VIRT-CAM-SEL,相机配置选择件,虚拟件,套,是,否,"2024-01-01",Active
