procurement_id,procurement_number,procurement_date,supplier_id,supplier_code,supplier_name,material_id,material_code,material_name,warehouse_id,warehouse_name,quantity,unit_price,total_amount,currency,tax_rate,payment_terms,logistics_provider,tracking_number,ship_date,estimated_delivery_date,actual_delivery_date,inspection_status,notes,created_date,status,po_number,delivery_batch,total_batches
PR0000270,PO-202212-297760,2022-12-23,SUP-029,SUP-029,包头稀土高新材料公司,M0090,COMP-BAT-MANAGER,双电池管理模块,WH003,配件仓,1080,289.76,312940.8,CNY,0.13,"预付50%,货到付清",申通快递,LOG20221225340736,2022-12-25,2023-03-25,,待验收,,2022-12-23,Active,,,
PR0000061,PO-202212-300958,2022-12-09,SUP-012,SUP-012,深圳大疆创新动力系统,M0021,ASSY-FC-RTK,RTK高精度飞控总成,WH002,电子材料仓,1849,3651.96,6752474.04,CNY,0.13,月结30天,京东物流,LOG20221212544456,2022-12-12,2022-12-27,,验收中,提前交付,2022-12-09,Active,,,
PR0000189,PO-202212-305135,2022-12-31,SUP-006,SUP-006,楼氏电子（Knowles）,M0062,PART-BARO-MS5611,MS5611气压计,WH002,电子材料仓,1126,4659.42,5246506.92,USD,0.13,月结45天,德邦物流,LOG20230102120931,2023-01-02,2023-02-11,2023-02-11,已验收,,2022-12-31,Active,,,
PR0000024,PO-202212-314289,2022-12-31,SUP-030,SUP-030,江西钨业控股集团,M0009,PART-RC-ADV,高级遥控器,WH003,配件仓,1788,2998.56,5361425.28,CNY,0.13,"预付30%,货到付清",圆通速递,LOG20230102756153,2023-01-02,2023-03-03,2023-03-03,已验收,,2022-12-31,Active,,,
PR0000312,PO-202212-318565,2022-12-16,SUP-002,SUP-002,德州仪器（TI）中国代理,M0104,PART-POWER-REG-5V-3A,5V 3A稳压模块,WH002,电子材料仓,1007,968.67,975450.69,USD,0.13,月结45天,顺丰速运,LOG20221219821975,2022-12-19,2023-03-04,2023-03-04,已验收,,2022-12-16,Active,,,
PR0000303,PO-202212-319964,2022-12-16,SUP-001,SUP-001,芯源微电子股份有限公司,M0101,PART-MCU-STM32H743,STM32H743高性能芯片,WH002,电子材料仓,1191,2699.39,3214973.49,CNY,0.13,月结60天,德邦物流,LOG20221219676685,2022-12-19,2023-02-17,,待验收,质量合格,2022-12-16,Active,,,
PR0000039,PO-202212-327451,2022-12-29,SUP-020,SUP-020,格氏ace电池科技,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,WH003,配件仓,294,3484.02,1024301.88,CNY,0.13,月结30天,京东物流,LOG20221230218938,2022-12-30,2023-01-14,2023-01-14,已验收,,2022-12-29,Active,,,
PR0000252,PO-202212-336753,2022-12-12,SUP-038,SUP-038,深圳农业喷洒系统公司,M0084,PART-CABLE-ESC-SIL,硅胶电调线,WH004,机电仓,1659,3021.22,5012203.98,CNY,0.13,月结45天,中通快递,LOG20221213961344,2022-12-13,2023-01-12,2023-01-12,已验收,部分延期,2022-12-12,Active,,,
PR0000269,PO-202212-341840,2022-12-14,SUP-029,SUP-029,包头稀土高新材料公司,M0090,COMP-BAT-MANAGER,双电池管理模块,WH003,配件仓,691,272.22,188104.02,CNY,0.13,"预付50%,货到付清",圆通速递,LOG20221217282784,2022-12-17,2023-03-17,,验收中,,2022-12-14,Active,,,
PR0000311,PO-202212-342679,2022-12-22,SUP-002,SUP-002,德州仪器（TI）中国代理,M0104,PART-POWER-REG-5V-3A,5V 3A稳压模块,WH002,电子材料仓,1518,825.41,1252972.38,USD,0.13,月结45天,德邦物流,LOG20221223300752,2022-12-23,2023-03-08,2023-03-08,已验收,,2022-12-22,Active,,,
PR0000261,PO-202212-364542,2022-12-28,SUP-003,SUP-003,意法半导体（ST）亚太区,M0088,PART-CABLE-ESC-HD,加强型电调线,WH004,机电仓,890,1812.29,1612938.1,USD,0.13,月结30天,京东物流,LOG20221231139080,2022-12-31,2023-03-01,2023-03-01,已验收,,2022-12-28,Active,,,
PR0000065,PO-202212-379406,2022-12-18,SUP-025,SUP-025,东莞碳纤维复合材料厂,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,WH002,电子材料仓,2710,3074.56,8332057.6,CNY,0.13,月结30天,百世快递,LOG20221221538258,2022-12-21,2023-01-10,2023-01-10,已验收,,2022-12-18,Active,,,
PR0000172,PO-202212-391740,2022-12-21,SUP-006,SUP-006,楼氏电子（Knowles）,M0057,COMP-LG-AL-IND,工业铝合金起落架,WH002,电子材料仓,913,4421.18,4036537.34,USD,0.13,月结45天,安能物流,LOG20221223936441,2022-12-23,2023-02-01,2023-02-01,已验收,,2022-12-21,Active,,,
PR0000207,PO-202212-394284,2022-12-18,SUP-005,SUP-005,深圳矽递科技有限公司,M0067,PART-IMU-ICM20689,ICM20689高精度IMU,WH002,电子材料仓,1251,2918.46,3650993.46,CNY,0.13,月结30天,中通快递,LOG20221219281865,2022-12-19,2023-01-23,,待验收,,2022-12-18,Active,,,
PR0000062,PO-202212-397849,2022-12-19,SUP-012,SUP-012,深圳大疆创新动力系统,M0021,ASSY-FC-RTK,RTK高精度飞控总成,WH002,电子材料仓,2554,3248.95,8297818.3,CNY,0.13,月结30天,申通快递,LOG20221222320725,2022-12-22,2023-01-06,,待验收,,2022-12-19,Active,,,
PR0000036,PO-202212-400177,2022-12-20,SUP-044,SUP-044,移远通信股份有限公司,M0013,ASSY-PWR-EFF,高效动力系统总成,WH002,电子材料仓,1190,525.95,625880.5,CNY,0.13,月结45天,德邦物流,LOG20221223106276,2022-12-23,2023-01-22,2023-01-22,已验收,,2022-12-20,Active,,,
PR0000051,PO-202212-403137,2022-12-18,SUP-010,SUP-010,生益科技股份有限公司,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,WH002,电子材料仓,841,2759.92,2321092.72,CNY,0.13,款到发货,顺丰速运,LOG20221219466906,2022-12-19,2023-01-08,2023-01-08,已验收,,2022-12-18,Active,,,
PR0000319,PO-202212-408057,2022-12-19,SUP-039,SUP-039,常州雷达测高仪制造厂,M0107,PART-CAP-SMD-0201,0201贴片电容,WH002,电子材料仓,1273,1221.65,1555160.45,CNY,0.13,月结30天,中铁快运,LOG20221221426254,2022-12-21,2023-01-15,,待验收,,2022-12-19,Active,,,
PR0000015,PO-202212-414264,2022-12-07,SUP-014,SUP-014,好盈电子科技有限公司,M0006,PART-RC-BASIC,基础遥控器,WH003,配件仓,2609,3647.52,9516379.68,CNY,0.13,月结30天,百世快递,LOG20221209529674,2022-12-09,2022-12-21,2022-12-21,已验收,部分延期,2022-12-07,Active,,,
PR0000321,PO-202212-415850,2022-12-28,SUP-039,SUP-039,常州雷达测高仪制造厂,M0107,PART-CAP-SMD-0201,0201贴片电容,WH002,电子材料仓,2081,1188.86,2474017.66,CNY,0.13,月结30天,中通快递,LOG20221230478779,2022-12-30,2023-01-24,2023-01-24,已验收,,2022-12-28,Active,,,
PR0000250,PO-202212-425938,2022-12-22,SUP-016,SUP-016,APC螺旋桨美国公司,M0083,PART-PROP-9450-CF,9450碳纤维螺旋桨,WH004,机电仓,2567,3296.94,8463244.98,USD,0.13,"预付50%,货到付清",顺丰速运,LOG20221223312012,2022-12-23,2023-01-22,2023-01-22,已验收,,2022-12-22,Active,,,
PR0000040,PO-202212-431787,2022-12-16,SUP-020,SUP-020,格氏ace电池科技,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,WH003,配件仓,275,3672.73,1010000.75,CNY,0.13,月结30天,中铁快运,LOG20221218298756,2022-12-18,2023-01-02,2023-01-02,已验收,提前交付,2022-12-16,Active,,,
PR0000263,PO-202212-446378,2022-12-30,SUP-003,SUP-003,意法半导体（ST）亚太区,M0088,PART-CABLE-ESC-HD,加强型电调线,WH004,机电仓,1134,1819.72,2063562.48,USD,0.13,月结30天,百世快递,LOG20230101281647,2023-01-01,2023-03-02,,验收中,,2022-12-30,Active,,,
PR0000286,PO-202212-473408,2022-12-15,SUP-003,SUP-003,意法半导体（ST）亚太区,M0095,PART-CRYSTAL-32K,32.768KHz晶振,WH002,电子材料仓,964,3694.33,3561334.12,USD,0.13,月结30天,韵达快递,LOG20221216545503,2022-12-16,2023-02-14,2023-02-14,已验收,,2022-12-15,Active,,,
PR0000285,PO-202212-475842,2022-12-07,SUP-003,SUP-003,意法半导体（ST）亚太区,M0095,PART-CRYSTAL-32K,32.768KHz晶振,WH002,电子材料仓,668,3566.75,2382589.0,USD,0.13,月结30天,中通快递,LOG20221210334075,2022-12-10,2023-02-08,2023-02-08,已验收,质量合格,2022-12-07,Active,,,
PR0000267,PO-202212-479856,2022-12-18,SUP-029,SUP-029,包头稀土高新材料公司,M0090,COMP-BAT-MANAGER,双电池管理模块,WH003,配件仓,987,277.33,273724.71,CNY,0.13,"预付50%,货到付清",圆通速递,LOG20221219713530,2022-12-19,2023-03-19,2023-03-19,已验收,,2022-12-18,Active,,,
PR0000264,PO-202212-488430,2022-12-31,SUP-003,SUP-003,意法半导体（ST）亚太区,M0088,PART-CABLE-ESC-HD,加强型电调线,WH004,机电仓,622,1625.62,1011135.64,USD,0.13,月结30天,京东物流,LOG20230101333970,2023-01-01,2023-03-02,2023-03-02,已验收,,2022-12-31,Active,,,
PR0000050,PO-202212-489554,2022-12-12,SUP-010,SUP-010,生益科技股份有限公司,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,WH002,电子材料仓,574,2947.15,1691664.1,CNY,0.13,款到发货,中通快递,LOG20221214986689,2022-12-14,2023-01-03,,验收中,,2022-12-12,Active,,,
PR0000275,PO-202212-509800,2022-12-28,SUP-002,SUP-002,德州仪器（TI）中国代理,M0092,PART-MCU-STM32F427,STM32F427主控芯片,WH002,电子材料仓,476,645.51,307262.76,USD,0.13,月结45天,德邦物流,LOG20221230407203,2022-12-30,2023-03-15,,验收中,提前交付,2022-12-28,Active,,,
PR0000251,PO-202212-511801,2022-12-17,SUP-038,SUP-038,深圳农业喷洒系统公司,M0084,PART-CABLE-ESC-SIL,硅胶电调线,WH004,机电仓,757,2681.98,2030258.86,CNY,0.13,月结45天,韵达快递,LOG20221219343939,2022-12-19,2023-01-18,2023-01-18,已验收,,2022-12-17,Active,,,
PR0000249,PO-202212-511820,2022-12-15,SUP-016,SUP-016,APC螺旋桨美国公司,M0083,PART-PROP-9450-CF,9450碳纤维螺旋桨,WH004,机电仓,1117,3341.37,3732310.29,USD,0.13,"预付50%,货到付清",顺丰速运,LOG20221218328872,2022-12-18,2023-01-17,,待验收,质量合格,2022-12-15,Active,,,
PR0000078,PO-202212-514170,2022-12-04,SUP-022,SUP-022,豪威科技（OmniVision）,M0028,PART-CAM-SURVEY-42MP,4200万像素测绘相机,WH002,电子材料仓,373,5219.63,1946921.99,USD,0.13,月结45天,安能物流,LOG20221206191662,2022-12-06,2023-01-25,,待验收,,2022-12-04,Active,,,
PR0000302,PO-202212-516370,2022-12-19,SUP-001,SUP-001,芯源微电子股份有限公司,M0101,PART-MCU-STM32H743,STM32H743高性能芯片,WH002,电子材料仓,936,2633.07,2464553.52,CNY,0.13,月结60天,顺丰速运,LOG20221221410406,2022-12-21,2023-02-19,2023-02-19,已验收,,2022-12-19,Active,,,
PR0000325,PO-202212-563574,2022-12-17,SUP-009,SUP-009,深圳华强PCB制造厂,M0109,PART-PCB-FC-8L,8层飞控PCB板,WH002,电子材料仓,1570,2513.63,3946399.1,CNY,0.13,月结30天,德邦物流,LOG20221218348403,2022-12-18,2023-01-02,,待验收,,2022-12-17,Active,,,
PR0000053,PO-202212-570370,2022-12-15,SUP-010,SUP-010,生益科技股份有限公司,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,WH002,电子材料仓,663,2927.96,1941237.48,CNY,0.13,款到发货,中通快递,LOG20221216397585,2022-12-16,2023-01-05,2023-01-05,已验收,,2022-12-15,Active,,,
PR0000331,PO-202212-571134,2022-12-10,SUP-044,SUP-044,移远通信股份有限公司,M0111,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,WH002,电子材料仓,1784,1257.95,2244182.8,CNY,0.13,月结45天,圆通速递,LOG20221213599141,2022-12-13,2023-01-12,2023-01-12,已验收,,2022-12-10,Active,,,
PR0000272,PO-202212-582578,2022-12-20,SUP-030,SUP-030,江西钨业控股集团,M0091,COMP-BAT-MOUNT,电池固定架,WH003,配件仓,842,1382.37,1163955.54,CNY,0.13,"预付30%,货到付清",中铁快运,LOG20221223402084,2022-12-23,2023-02-21,,验收中,,2022-12-20,Active,,,
PR0000324,PO-202212-585220,2022-12-25,SUP-009,SUP-009,深圳华强PCB制造厂,M0109,PART-PCB-FC-8L,8层飞控PCB板,WH002,电子材料仓,1796,2457.88,4414352.48,CNY,0.13,月结30天,韵达快递,LOG20221228428920,2022-12-28,2023-01-12,2023-01-12,已验收,,2022-12-25,Active,,,
PR0000052,PO-202212-589309,2022-12-12,SUP-010,SUP-010,生益科技股份有限公司,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,WH002,电子材料仓,562,2591.9,1456647.8,CNY,0.13,款到发货,百世快递,LOG20221215478789,2022-12-15,2023-01-04,2023-01-04,已验收,部分延期,2022-12-12,Active,,,
PR0000278,PO-202212-599258,2022-12-17,SUP-002,SUP-002,德州仪器（TI）中国代理,M0092,PART-MCU-STM32F427,STM32F427主控芯片,WH002,电子材料仓,988,663.28,655320.64,USD,0.13,月结45天,中通快递,LOG20221218296741,2022-12-18,2023-03-03,2023-03-03,已验收,部分延期,2022-12-17,Active,,,
PR0000016,PO-202212-613478,2022-12-06,SUP-014,SUP-014,好盈电子科技有限公司,M0006,PART-RC-BASIC,基础遥控器,WH003,配件仓,1771,3942.02,6981317.42,CNY,0.13,月结30天,韵达快递,LOG20221207650314,2022-12-07,2022-12-19,2022-12-19,已验收,按时交付,2022-12-06,Active,,,
PR0000276,PO-202212-615680,2022-12-25,SUP-002,SUP-002,德州仪器（TI）中国代理,M0092,PART-MCU-STM32F427,STM32F427主控芯片,WH002,电子材料仓,369,653.03,240968.07,USD,0.13,月结45天,顺丰速运,LOG20221228899902,2022-12-28,2023-03-13,2023-03-13,已验收,,2022-12-25,Active,,,
PR0000079,PO-202212-628335,2022-12-08,SUP-022,SUP-022,豪威科技（OmniVision）,M0028,PART-CAM-SURVEY-42MP,4200万像素测绘相机,WH002,电子材料仓,308,4618.04,1422356.32,USD,0.13,月结45天,京东物流,LOG20221211543041,2022-12-11,2023-01-30,,验收中,,2022-12-08,Active,,,
PR0000271,PO-202212-630946,2022-12-19,SUP-030,SUP-030,江西钨业控股集团,M0091,COMP-BAT-MOUNT,电池固定架,WH003,配件仓,652,1359.57,886439.64,CNY,0.13,"预付30%,货到付清",中铁快运,LOG20221222800768,2022-12-22,2023-02-20,2023-02-20,已验收,,2022-12-19,Active,,,
PR0000313,PO-202212-634773,2022-12-23,SUP-002,SUP-002,德州仪器（TI）中国代理,M0104,PART-POWER-REG-5V-3A,5V 3A稳压模块,WH002,电子材料仓,854,857.38,732202.52,USD,0.13,月结45天,申通快递,LOG20221224320112,2022-12-24,2023-03-09,,待验收,,2022-12-23,Active,,,
PR0000266,PO-202212-658530,2022-12-25,SUP-020,SUP-020,格氏ace电池科技,M0089,PART-BAT-6S-10000,6S10000mAh智能电池,WH003,配件仓,789,1444.7,1139868.3,CNY,0.13,月结30天,京东物流,LOG20221226718194,2022-12-26,2023-01-10,2023-01-10,已验收,,2022-12-25,Active,,,
PR0000206,PO-202212-690876,2022-12-07,SUP-005,SUP-005,深圳矽递科技有限公司,M0067,PART-IMU-ICM20689,ICM20689高精度IMU,WH002,电子材料仓,866,2878.84,2493075.44,CNY,0.13,月结30天,圆通速递,LOG20221208129482,2022-12-08,2023-01-12,2023-01-12,已验收,提前交付,2022-12-07,Active,,,
PR0000104,PO-202212-694343,2022-12-29,SUP-022,SUP-022,豪威科技（OmniVision）,M0036,PART-FRAME-HEX-CF-HD,六轴重载碳纤维机架,WH002,电子材料仓,1138,1443.25,1642418.5,USD,0.13,月结45天,申通快递,LOG20230101442695,2023-01-01,2023-02-20,2023-02-20,已验收,,2022-12-29,Active,,,
PR0000152,PO-202212-725305,2022-12-21,SUP-031,SUP-031,台积电（TSMC）,M0051,COMP-LG-CF,碳纤维起落架,WH002,电子材料仓,1217,535.82,652092.94,USD,0.13,信用证,圆通速递,LOG20221222256483,2022-12-22,2023-04-21,2023-04-21,已验收,,2022-12-21,Active,,,
PR0000354,PO-202212-730836,2022-12-22,SUP-023,SUP-023,舜宇光学科技有限公司,M0119,RAW-SI-WAFER-8IN,8英寸硅晶圆,WH005,原材料仓,1998,1545.0,3086910.0,CNY,0.13,月结30天,中铁快运,LOG20221224147569,2022-12-24,2023-01-28,,验收中,,2022-12-22,Active,,,
PR0000304,PO-202212-768832,2022-12-22,SUP-001,SUP-001,芯源微电子股份有限公司,M0101,PART-MCU-STM32H743,STM32H743高性能芯片,WH002,电子材料仓,488,2964.21,1446534.48,CNY,0.13,月结60天,德邦物流,LOG20221225831000,2022-12-25,2023-02-23,2023-02-23,已验收,,2022-12-22,Active,,,
PR0000205,PO-202212-774614,2022-12-15,SUP-005,SUP-005,深圳矽递科技有限公司,M0067,PART-IMU-ICM20689,ICM20689高精度IMU,WH002,电子材料仓,1338,2440.55,3265455.9,CNY,0.13,月结30天,申通快递,LOG20221218960707,2022-12-18,2023-01-22,2023-01-22,已验收,质量合格,2022-12-15,Active,,,
PR0000320,PO-202212-775403,2022-12-16,SUP-039,SUP-039,常州雷达测高仪制造厂,M0107,PART-CAP-SMD-0201,0201贴片电容,WH002,电子材料仓,860,1341.57,1153750.2,CNY,0.13,月结30天,顺丰速运,LOG20221218426186,2022-12-18,2023-01-12,,验收中,,2022-12-16,Active,,,
PR0000081,PO-202212-776280,2022-12-17,SUP-022,SUP-022,豪威科技（OmniVision）,M0028,PART-CAM-SURVEY-42MP,4200万像素测绘相机,WH002,电子材料仓,305,5185.03,1581434.15,USD,0.13,月结45天,中铁快运,LOG20221219414271,2022-12-19,2023-02-07,2023-02-07,已验收,提前交付,2022-12-17,Active,,,
PR0000066,PO-202212-778870,2022-12-09,SUP-025,SUP-025,东莞碳纤维复合材料厂,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,WH002,电子材料仓,1606,3084.81,4954204.86,CNY,0.13,月结30天,京东物流,LOG20221210226546,2022-12-10,2022-12-30,,验收中,,2022-12-09,Active,,,
PR0000073,PO-202212-782100,2022-12-29,SUP-023,SUP-023,舜宇光学科技有限公司,M0025,PART-RC-IND,工业遥控器,WH003,配件仓,1010,870.19,878891.9,CNY,0.13,月结30天,京东物流,LOG20221231396365,2022-12-31,2023-02-04,2023-02-04,已验收,,2022-12-29,Active,,,
PR0000063,PO-202212-795736,2022-12-21,SUP-022,SUP-022,豪威科技（OmniVision）,M0022,PART-CAM-FPV,FPV图传相机,WH002,电子材料仓,414,900.1,372641.4,USD,0.13,月结45天,圆通速递,LOG20221222940611,2022-12-22,2023-02-10,,验收中,,2022-12-21,Active,,,
PR0000314,PO-202212-803549,2022-12-27,SUP-002,SUP-002,德州仪器（TI）中国代理,M0104,PART-POWER-REG-5V-3A,5V 3A稳压模块,WH002,电子材料仓,1071,850.83,911238.93,USD,0.13,月结45天,顺丰速运,LOG20221228341473,2022-12-28,2023-03-13,,验收中,提前交付,2022-12-27,Active,,,
PR0000023,PO-202212-811711,2022-12-28,SUP-030,SUP-030,江西钨业控股集团,M0009,PART-RC-ADV,高级遥控器,WH003,配件仓,905,3078.15,2785725.75,CNY,0.13,"预付30%,货到付清",中铁快运,LOG20221230787797,2022-12-30,2023-02-28,2023-02-28,已验收,部分延期,2022-12-28,Active,,,
PR0000072,PO-202212-824095,2022-12-31,SUP-023,SUP-023,舜宇光学科技有限公司,M0025,PART-RC-IND,工业遥控器,WH003,配件仓,959,736.15,705967.85,CNY,0.13,月结30天,百世快递,LOG20230102790667,2023-01-02,2023-02-06,2023-02-06,已验收,,2022-12-31,Active,,,
PR0000008,PO-202212-850215,2022-12-17,SUP-023,SUP-023,舜宇光学科技有限公司,M0003,PART-CAM-FIX-12MP,1200万像素固定相机,WH002,电子材料仓,262,4012.63,1051309.06,CNY,0.13,月结30天,申通快递,LOG20221220621229,2022-12-20,2023-01-24,,待验收,,2022-12-17,Active,,,
PR0000274,PO-202212-871354,2022-12-25,SUP-030,SUP-030,江西钨业控股集团,M0091,COMP-BAT-MOUNT,电池固定架,WH003,配件仓,1310,1456.04,1907412.4,CNY,0.13,"预付30%,货到付清",顺丰速运,LOG20221228403382,2022-12-28,2023-02-26,,待验收,,2022-12-25,Active,,,
PR0000268,PO-202212-875330,2022-12-15,SUP-029,SUP-029,包头稀土高新材料公司,M0090,COMP-BAT-MANAGER,双电池管理模块,WH003,配件仓,667,271.97,181403.99,CNY,0.13,"预付50%,货到付清",中通快递,LOG20221216181520,2022-12-16,2023-03-16,,验收中,,2022-12-15,Active,,,
PR0000037,PO-202212-892020,2022-12-17,SUP-020,SUP-020,格氏ace电池科技,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,WH003,配件仓,377,3479.54,1311786.58,CNY,0.13,月结30天,顺丰速运,LOG20221220516751,2022-12-20,2023-01-04,2023-01-04,已验收,,2022-12-17,Active,,,
PR0000374,PO-202212-907195,2022-12-31,SUP-044,SUP-044,移远通信股份有限公司,M0125,RAW-FR4-CCL,FR4覆铜板,WH005,原材料仓,1522,4755.04,7237170.88,CNY,0.13,月结45天,京东物流,LOG20230102947931,2023-01-02,2023-02-01,,待验收,,2022-12-31,Active,,,
PR0000297,PO-202212-926267,2022-12-13,SUP-022,SUP-022,豪威科技（OmniVision）,M0099,PART-RES-SMD-0402,0402贴片电阻,WH002,电子材料仓,1506,213.9,322133.4,USD,0.13,月结45天,韵达快递,LOG20221216266313,2022-12-16,2023-02-04,,验收中,,2022-12-13,Active,,,
PR0000332,PO-202212-932634,2022-12-18,SUP-044,SUP-044,移远通信股份有限公司,M0111,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,WH002,电子材料仓,2339,1226.11,2867871.29,CNY,0.13,月结45天,申通快递,LOG20221220524853,2022-12-20,2023-01-19,2023-01-19,已验收,,2022-12-18,Active,,,
PR0000038,PO-202212-958501,2022-12-14,SUP-020,SUP-020,格氏ace电池科技,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,WH003,配件仓,293,3383.74,991435.82,CNY,0.13,月结30天,京东物流,LOG20221216518568,2022-12-16,2022-12-31,2022-12-31,已验收,,2022-12-14,Active,,,
