purchase_order_id,purchase_order_number,document_date,supplier_id,supplier_name,material_id,material_code,material_name,purchase_quantity,unit_price_tax,total_amount_tax,unit_price_no_tax,total_amount_no_tax,tax_rate,document_status,required_date,planned_arrival_date,accumulated_arrival_tax,accumulated_storage_tax,payment_terms,supplier_level,risk_level,buyer,created_date,status,srcbillid,srcbillentryid,customer_id,customer_name,sales_order_number,project_name,delivery_batch,total_batches
PO0000010,PO-2023020010,2023-02-22,SUP-021,索尼半导体解决方案,M0007,PART-CAM-FIX-20MP,2000万像素固定相机,2766,173.65,480315.9,153.67,425058.32,0.13,已关闭,2023-05-02,2023-04-28,471600.89,436794.63,月结60天,战略,低,李四,2023-02-22,Active,,,,,,,,
PO0000030,PO-2023020030,2023-02-23,SUP-035,北京智能视觉科技公司,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,1062,385.37,409262.94,341.04,362179.59,0.13,已收货,2023-04-09,2023-03-31,408231.84,375547.19,月结60天,核心,中,孙八,2023-02-23,Active,,,,,,,,
PO0000074,PO-2023020074,2023-02-21,SUP-042,深圳线缆连接器公司,M0032,PART-SPOTLIGHT-50W,50W强光照明灯,1531,227.73,348654.63,201.53,308543.92,0.13,已收货,2023-03-10,2023-03-04,345687.89,330277.39,月结30天,一般,低,孙八,2023-02-21,Active,,,,,,,,
PO0000087,PO-2023020087,2023-02-20,SUP-038,深圳农业喷洒系统公司,M0035,PART-SPRAYER-20L,20升智能喷洒系统,4129,89.95,371403.55,79.6,328675.71,0.13,已关闭,2023-04-10,2023-04-01,360524.84,332244.15,月结45天,核心,低,李四,2023-02-20,Active,,,,,,,,
PO0000121,PO-2023020121,2023-02-01,SUP-001,芯源微电子股份有限公司,M0096,PART-POWER-REG-5V,5V稳压芯片,785,385.72,302790.2,341.35,267955.93,0.13,已关闭,2023-04-18,2023-04-04,293133.47,291652.18,月结60天,战略,中,王五,2023-02-01,Active,,,,,,,,
PO0000134,PO-2023020134,2023-02-21,SUP-001,芯源微电子股份有限公司,M0099,PART-RES-SMD-0402,0402贴片电阻,3925,284.88,1118154.0,252.11,989516.81,0.13,已关闭,2023-05-07,2023-04-22,1114450.2,1083371.35,月结60天,战略,中,钱七,2023-02-21,Active,,,,,,,,
PO0000136,PO-2023020136,2023-02-21,SUP-001,芯源微电子股份有限公司,M0099,PART-RES-SMD-0402,0402贴片电阻,4355,287.13,1250451.15,254.1,1106593.94,0.13,已关闭,2023-04-30,2023-04-17,1214871.3,1200591.18,月结60天,战略,中,钱七,2023-02-21,Active,,,,,,,,
PO0000137,PO-2023020137,2023-02-16,SUP-001,芯源微电子股份有限公司,M0100,PART-CAP-SMD-0402,0402贴片电容,2094,373.72,782569.68,330.73,692539.54,0.13,已收货,2023-04-24,2023-04-21,758558.44,716864.61,月结60天,战略,中,周九,2023-02-16,Active,,,,,,,,
PO0000139,PO-2023020139,2023-02-16,SUP-001,芯源微电子股份有限公司,M0100,PART-CAP-SMD-0402,0402贴片电容,3228,407.65,1315894.2,360.75,1164508.14,0.13,已收货,2023-04-26,2023-04-26,1289988.23,1227489.04,月结60天,战略,中,张三,2023-02-16,Active,,,,,,,,
PO0000159,PO-2023020159,2023-02-26,SUP-001,芯源微电子股份有限公司,M0106,PART-RES-SMD-0201,0201贴片电阻,4704,63.88,300491.52,56.53,265921.7,0.13,已收货,2023-05-16,2023-04-23,295574.99,275126.22,月结60天,战略,中,吴十,2023-02-26,Active,,,,,,,,
PO0000161,PO-2023020161,2023-02-02,SUP-001,芯源微电子股份有限公司,M0106,PART-RES-SMD-0201,0201贴片电阻,1974,68.48,135179.52,60.6,119627.89,0.13,已关闭,2023-04-19,2023-04-11,135131.24,126786.61,月结60天,战略,中,钱七,2023-02-02,Active,,,,,,,,
PO0000165,PO-2023020165,2023-02-15,SUP-001,芯源微电子股份有限公司,M0107,PART-CAP-SMD-0201,0201贴片电容,2419,440.86,1066440.34,390.14,943752.51,0.13,已关闭,2023-04-25,2023-04-12,1039987.07,966071.38,月结60天,战略,中,周九,2023-02-15,Active,,,,,,,,
PO0000195,PO-2023020195,2023-02-15,SUP-001,芯源微电子股份有限公司,M0117,PART-MOSFET-DUAL,双路MOSFET,4026,84.29,339351.54,74.59,300311.1,0.13,已关闭,2023-04-29,2023-04-14,326150.78,317894.38,月结60天,战略,中,周九,2023-02-15,Active,,,,,,,,
PO0000230,PO-2023020230,2023-02-26,SUP-033,江铜集团铜材公司,M0122,RAW-COPPER-WIRE,铜漆包线,29096,240.54,6998751.84,212.87,6193585.7,0.13,已收货,2023-03-26,2023-03-16,6728741.54,6398242.5,月结30天,一般,低,吴十,2023-02-26,Active,,,,,,,,
PO0000233,PO-2023020233,2023-02-17,SUP-027,深圳铝合金精密加工厂,M0123,RAW-AL-ALLOY,铝合金材料,35480,105.04,3726819.2,92.96,3298070.09,0.13,已收货,2023-03-19,2023-03-08,3556575.4,3363363.08,款到发货,一般,低,周九,2023-02-17,Active,,,,,,,,
PO0000237,PO-2023020237,2023-02-14,SUP-027,深圳铝合金精密加工厂,M0123,RAW-AL-ALLOY,铝合金材料,29411,97.07,2854925.77,85.9,2526482.98,0.13,已关闭,2023-03-09,2023-02-26,2784327.42,2683316.39,款到发货,一般,低,赵六,2023-02-14,Active,,,,,,,,
PO0000020,PO-2023030020,2023-03-28,SUP-021,索尼半导体解决方案,M0017,PART-CAM-ZOOM,变焦相机模组,1265,394.22,498688.3,348.87,441317.08,0.13,已关闭,2023-06-10,2023-05-29,479355.17,440965.05,月结60天,战略,低,钱七,2023-03-28,Active,,,,,,,,
PO0000035,PO-2023030035,2023-03-30,SUP-021,索尼半导体解决方案,M0022,PART-CAM-FPV,FPV图传相机,2497,64.81,161830.57,57.35,143212.89,0.13,已关闭,2023-06-13,2023-06-05,153971.27,151676.37,月结60天,战略,低,钱七,2023-03-30,Active,,,,,,,,
PO0000046,PO-2023030046,2023-03-15,SUP-038,深圳农业喷洒系统公司,M0026,PART-SPRAYER-16L,16升智能喷洒系统,3019,105.83,319500.77,93.65,282744.04,0.13,已收货,2023-05-03,2023-04-18,305512.29,296001.02,月结45天,核心,低,张三,2023-03-15,Active,,,,,,,,
PO0000098,PO-2023030098,2023-03-28,SUP-038,深圳农业喷洒系统公司,M0041,PART-SPRAYER-30L,30升智能喷洒系统,2529,437.77,1107120.33,387.41,979752.5,0.13,已收货,2023-05-07,2023-05-06,1071908.25,1063111.83,月结45天,核心,低,王五,2023-03-28,Active,,,,,,,,
PO0000113,PO-2023030113,2023-03-29,SUP-027,深圳铝合金精密加工厂,M0095,PART-CRYSTAL-32K,32.768KHz晶振,4809,78.11,375630.99,69.12,332416.81,0.13,已收货,2023-04-30,2023-04-08,373251.96,337551.69,款到发货,一般,低,孙八,2023-03-29,Active,,,,,,,,
PO0000127,PO-2023030127,2023-03-09,SUP-042,深圳线缆连接器公司,M0098,PART-CONN-DF13-6P,DF13 6PIN连接器,4421,311.45,1376920.45,275.62,1218513.67,0.13,已关闭,2023-03-26,2023-03-27,1316702.68,1226775.53,月结30天,一般,低,钱七,2023-03-09,Active,,,,,,,,
PO0000143,PO-2023030143,2023-03-05,SUP-027,深圳铝合金精密加工厂,M0103,PART-CRYSTAL-25M,25MHz晶振,3162,344.92,1090637.04,305.24,965165.52,0.13,已收货,2023-04-06,2023-03-30,1053214.7,966133.06,款到发货,一般,低,王五,2023-03-05,Active,,,,,,,,
PO0000169,PO-2023030169,2023-03-22,SUP-042,深圳线缆连接器公司,M0111,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,1257,110.42,138797.94,97.72,122830.04,0.13,已关闭,2023-04-07,2023-04-02,133721.14,129357.44,月结30天,一般,低,吴十,2023-03-22,Active,,,,,,,,
PO0000170,PO-2023030170,2023-03-16,SUP-042,深圳线缆连接器公司,M0111,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,4427,103.25,457087.75,91.37,404502.43,0.13,已收货,2023-04-09,2023-03-31,456105.46,411194.3,月结30天,一般,低,赵六,2023-03-16,Active,,,,,,,,
PO0000179,PO-2023030179,2023-03-24,SUP-028,台州塑料注塑成型公司,M0112,RAW-ABS-PELLET,ABS塑料粒子,31560,14.64,462038.4,12.96,408883.54,0.13,已收货,2023-04-09,2023-04-13,453646.58,440166.25,款到发货,一般,低,张三,2023-03-24,Active,,,,,,,,
PO0000181,PO-2023030181,2023-03-18,SUP-028,台州塑料注塑成型公司,M0112,RAW-ABS-PELLET,ABS塑料粒子,16754,16.29,272922.66,14.42,241524.48,0.13,已收货,2023-04-02,2023-04-02,272396.86,261147.86,款到发货,一般,低,钱七,2023-03-18,Active,,,,,,,,
PO0000182,PO-2023030182,2023-03-20,SUP-025,东莞碳纤维复合材料厂,M0113,RAW-CF-PLATE-3MM,3mm碳纤维板,41959,170.66,7160722.94,151.03,6336922.96,0.13,已收货,2023-04-24,2023-04-16,6940117.61,6759497.7,月结30天,核心,低,钱七,2023-03-20,Active,,,,,,,,
PO0000185,PO-2023030185,2023-03-29,SUP-025,东莞碳纤维复合材料厂,M0113,RAW-CF-PLATE-3MM,3mm碳纤维板,9817,164.95,1619314.15,145.97,1433021.37,0.13,已收货,2023-05-05,2023-04-17,1595969.89,1537541.57,月结30天,核心,低,钱七,2023-03-29,Active,,,,,,,,
PO0000201,PO-2023030201,2023-03-06,SUP-001,芯源微电子股份有限公司,M0117,PART-MOSFET-DUAL,双路MOSFET,3496,88.32,308766.72,78.16,273244.88,0.13,已收货,2023-05-13,2023-05-14,297378.68,293293.79,月结60天,战略,中,李四,2023-03-06,Active,,,,,,,,
PO0000227,PO-2023030227,2023-03-01,SUP-033,江铜集团铜材公司,M0122,RAW-COPPER-WIRE,铜漆包线,33474,238.41,7980536.34,210.98,7062421.54,0.13,已收货,2023-04-04,2023-03-17,7847293.14,7578956.8,月结30天,一般,低,赵六,2023-03-01,Active,,,,,,,,
PO0000239,PO-2023030239,2023-03-18,SUP-027,深圳铝合金精密加工厂,M0123,RAW-AL-ALLOY,铝合金材料,43319,90.22,3908240.18,79.84,3458619.63,0.13,已收货,2023-04-12,2023-03-31,3800678.91,3539964.99,款到发货,一般,低,赵六,2023-03-18,Active,,,,,,,,
PO0000002,PO-2023040002,2023-04-06,SUP-021,索尼半导体解决方案,M0003,PART-CAM-FIX-12MP,1200万像素固定相机,3829,103.58,396607.82,91.66,350980.37,0.13,已收货,2023-06-22,2023-06-06,394673.22,361703.69,月结60天,战略,低,赵六,2023-04-06,Active,,,,,,,,
PO0000032,PO-2023040032,2023-04-28,SUP-035,北京智能视觉科技公司,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,1385,370.59,513267.15,327.96,454218.72,0.13,已关闭,2023-06-24,2023-06-11,497783.28,483597.19,月结60天,核心,中,王五,2023-04-28,Active,,,,,,,,
PO0000033,PO-2023040033,2023-04-15,SUP-035,北京智能视觉科技公司,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,836,353.7,295693.2,313.01,261675.4,0.13,已收货,2023-06-10,2023-06-02,281928.04,271991.3,月结60天,核心,中,钱七,2023-04-15,Active,,,,,,,,
PO0000063,PO-2023040063,2023-04-20,SUP-021,索尼半导体解决方案,M0030,PART-CAM-THERMAL,红外热成像相机,3440,94.69,325733.6,83.8,288259.82,0.13,已关闭,2023-06-24,2023-06-23,325374.39,314254.06,月结60天,战略,低,赵六,2023-04-20,Active,,,,,,,,
PO0000071,PO-2023040071,2023-04-29,SUP-021,索尼半导体解决方案,M0031,PART-CAM-ZOOM-30X,30倍变焦可见光相机,4903,422.96,2073772.88,374.3,1835197.24,0.13,已收货,2023-07-14,2023-07-07,2039606.04,1987216.75,月结60天,战略,低,李四,2023-04-29,Active,,,,,,,,
PO0000073,PO-2023040073,2023-04-12,SUP-042,深圳线缆连接器公司,M0032,PART-SPOTLIGHT-50W,50W强光照明灯,996,210.98,210136.08,186.71,185961.13,0.13,已关闭,2023-04-30,2023-04-23,209600.35,205915.39,月结30天,一般,低,孙八,2023-04-12,Active,,,,,,,,
PO0000082,PO-2023040082,2023-04-06,SUP-025,东莞碳纤维复合材料厂,M0033,PART-FRAME-HEX-CF,六轴碳纤维机架,3552,528.38,1876805.76,467.59,1660890.05,0.13,已收货,2023-05-11,2023-04-22,1845839.71,1737084.43,月结30天,核心,低,周九,2023-04-06,Active,,,,,,,,
PO0000084,PO-2023040084,2023-04-28,SUP-025,东莞碳纤维复合材料厂,M0033,PART-FRAME-HEX-CF,六轴碳纤维机架,4015,531.7,2134775.5,470.53,1889181.86,0.13,已收货,2023-05-31,2023-05-13,2031127.15,1883519.13,月结30天,核心,低,钱七,2023-04-28,Active,,,,,,,,
PO0000088,PO-2023040088,2023-04-24,SUP-038,深圳农业喷洒系统公司,M0035,PART-SPRAYER-20L,20升智能喷洒系统,4816,90.04,433632.64,79.68,383745.7,0.13,已关闭,2023-06-05,2023-05-20,420520.96,403671.74,月结45天,核心,低,钱七,2023-04-24,Active,,,,,,,,
PO0000111,PO-2023040111,2023-04-24,SUP-027,深圳铝合金精密加工厂,M0095,PART-CRYSTAL-32K,32.768KHz晶振,2967,71.57,212348.19,63.34,187918.75,0.13,已收货,2023-05-27,2023-05-11,208514.79,200649.84,款到发货,一般,低,钱七,2023-04-24,Active,,,,,,,,
PO0000164,PO-2023040164,2023-04-26,SUP-001,芯源微电子股份有限公司,M0106,PART-RES-SMD-0201,0201贴片电阻,628,61.61,38691.08,54.52,34239.89,0.13,已关闭,2023-07-03,2023-06-22,37905.54,35807.25,月结60天,战略,中,张三,2023-04-26,Active,,,,,,,,
PO0000219,PO-2023040219,2023-04-16,SUP-029,包头稀土高新材料公司,M0121,RAW-NEODYMIUM,钕铁硼磁性材料,24611,3.14,77278.54,2.78,68388.09,0.13,已关闭,2023-07-24,2023-07-14,73678.95,70461.33,"预付50%,货到付清",战略,高,孙八,2023-04-16,Active,,,,,,,,
PO0000242,PO-2023040242,2023-04-07,SUP-019,LG化学电池韩国,M0124,RAW-LIPO-CELL,锂聚合物电芯,14161,0.79,11187.19,0.7,9900.17,0.13,已收货,2023-05-19,2023-05-03,10700.95,10512.26,信用证,核心,中,吴十,2023-04-07,Active,,,,,,,,
PO0000028,PO-2023050028,2023-05-11,SUP-035,北京智能视觉科技公司,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,722,334.49,241501.78,296.01,213718.39,0.13,已关闭,2023-06-29,2023-06-28,239894.0,220264.17,月结60天,核心,中,张三,2023-05-11,Active,,,,,,,,
PO0000031,PO-2023050031,2023-05-10,SUP-035,北京智能视觉科技公司,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,2285,362.3,827855.5,320.62,732615.49,0.13,已收货,2023-07-05,2023-06-22,793407.98,762246.69,月结60天,核心,中,吴十,2023-05-10,Active,,,,,,,,
PO0000040,PO-2023050040,2023-05-10,SUP-038,深圳农业喷洒系统公司,M0026,PART-SPRAYER-16L,16升智能喷洒系统,946,104.96,99292.16,92.88,87869.17,0.13,已收货,2023-06-29,2023-06-08,94836.86,85469.49,月结45天,核心,低,钱七,2023-05-10,Active,,,,,,,,
PO0000065,PO-2023050065,2023-05-21,SUP-021,索尼半导体解决方案,M0031,PART-CAM-ZOOM-30X,30倍变焦可见光相机,3030,482.54,1462096.2,427.03,1293890.44,0.13,已收货,2023-08-05,2023-07-16,1442530.41,1311279.38,月结60天,战略,低,李四,2023-05-21,Active,,,,,,,,
PO0000076,PO-2023050076,2023-05-15,SUP-042,深圳线缆连接器公司,M0032,PART-SPOTLIGHT-50W,50W强光照明灯,2449,219.2,536820.8,193.98,475062.65,0.13,已关闭,2023-06-04,2023-05-20,517102.5,471946.97,月结30天,一般,低,张三,2023-05-15,Active,,,,,,,,
PO0000089,PO-2023050089,2023-05-21,SUP-038,深圳农业喷洒系统公司,M0035,PART-SPRAYER-20L,20升智能喷洒系统,3187,80.51,256585.37,71.25,227066.7,0.13,已关闭,2023-07-08,2023-06-30,246010.14,230762.61,月结45天,核心,低,钱七,2023-05-21,Active,,,,,,,,
PO0000101,PO-2023050101,2023-05-13,SUP-038,深圳农业喷洒系统公司,M0041,PART-SPRAYER-30L,30升智能喷洒系统,3585,432.38,1550082.3,382.64,1371754.25,0.13,已关闭,2023-06-21,2023-06-17,1524514.96,1498439.5,月结45天,核心,低,李四,2023-05-13,Active,,,,,,,,
PO0000128,PO-2023050128,2023-05-12,SUP-042,深圳线缆连接器公司,M0098,PART-CONN-DF13-6P,DF13 6PIN连接器,4044,310.03,1253761.32,274.36,1109523.29,0.13,已收货,2023-05-30,2023-05-18,1223552.07,1138408.09,月结30天,一般,低,王五,2023-05-12,Active,,,,,,,,
PO0000138,PO-2023050138,2023-05-12,SUP-001,芯源微电子股份有限公司,M0100,PART-CAP-SMD-0402,0402贴片电容,3557,406.96,1447556.72,360.14,1281023.65,0.13,已关闭,2023-07-27,2023-07-16,1429821.63,1315301.19,月结60天,战略,中,李四,2023-05-12,Active,,,,,,,,
PO0000146,PO-2023050146,2023-05-30,SUP-027,深圳铝合金精密加工厂,M0103,PART-CRYSTAL-25M,25MHz晶振,2856,342.23,977408.88,302.86,864963.61,0.13,已收货,2023-06-30,2023-06-11,973695.2,940197.36,款到发货,一般,低,钱七,2023-05-30,Active,,,,,,,,
PO0000171,PO-2023050171,2023-05-01,SUP-042,深圳线缆连接器公司,M0111,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,2175,107.37,233529.75,95.02,206663.5,0.13,已收货,2023-05-26,2023-05-13,230908.54,216607.49,月结30天,一般,低,吴十,2023-05-01,Active,,,,,,,,
PO0000173,PO-2023050173,2023-05-30,SUP-042,深圳线缆连接器公司,M0111,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,3920,105.14,412148.8,93.04,364733.45,0.13,已关闭,2023-06-24,2023-06-10,396281.46,379233.01,月结30天,一般,低,张三,2023-05-30,Active,,,,,,,,
PO0000197,PO-2023050197,2023-05-26,SUP-001,芯源微电子股份有限公司,M0117,PART-MOSFET-DUAL,双路MOSFET,3310,90.69,300183.9,80.26,265649.47,0.13,已关闭,2023-08-14,2023-07-26,290402.41,264197.17,月结60天,战略,中,孙八,2023-05-26,Active,,,,,,,,
PO0000221,PO-2023050221,2023-05-07,SUP-029,包头稀土高新材料公司,M0121,RAW-NEODYMIUM,钕铁硼磁性材料,33140,3.26,108036.4,2.88,95607.43,0.13,已关闭,2023-08-17,2023-08-04,104130.71,94594.93,"预付50%,货到付清",战略,高,周九,2023-05-07,Active,,,,,,,,
PO0000229,PO-2023050229,2023-05-01,SUP-033,江铜集团铜材公司,M0122,RAW-COPPER-WIRE,铜漆包线,33136,246.46,8166698.56,218.11,7227166.87,0.13,已关闭,2023-06-03,2023-05-18,8049230.09,7708467.29,月结30天,一般,低,张三,2023-05-01,Active,,,,,,,,
PO0000009,PO-2023060009,2023-06-09,SUP-021,索尼半导体解决方案,M0007,PART-CAM-FIX-20MP,2000万像素固定相机,2225,199.38,443620.5,176.44,392584.51,0.13,已关闭,2023-08-21,2023-08-09,432649.97,400249.73,月结60天,战略,低,钱七,2023-06-09,Active,,,,,,,,
PO0000042,PO-2023060042,2023-06-05,SUP-038,深圳农业喷洒系统公司,M0026,PART-SPRAYER-16L,16升智能喷洒系统,1197,114.11,136589.67,100.98,120875.81,0.13,已关闭,2023-07-23,2023-07-03,133901.02,131099.02,月结45天,核心,低,王五,2023-06-05,Active,,,,,,,,
PO0000044,PO-2023060044,2023-06-10,SUP-038,深圳农业喷洒系统公司,M0026,PART-SPRAYER-16L,16升智能喷洒系统,1114,96.72,107746.08,85.59,95350.51,0.13,已收货,2023-07-29,2023-07-18,106072.63,100449.85,月结45天,核心,低,赵六,2023-06-10,Active,,,,,,,,
PO0000066,PO-2023060066,2023-06-29,SUP-021,索尼半导体解决方案,M0031,PART-CAM-ZOOM-30X,30倍变焦可见光相机,4918,490.55,2412524.9,434.12,2134977.79,0.13,已收货,2023-09-10,2023-09-03,2392075.45,2214337.09,月结60天,战略,低,赵六,2023-06-29,Active,,,,,,,,
PO0000072,PO-2023060072,2023-06-08,SUP-042,深圳线缆连接器公司,M0032,PART-SPOTLIGHT-50W,50W强光照明灯,4508,220.35,993337.8,195.0,879060.0,0.13,已收货,2023-06-24,2023-06-21,977955.0,901407.5,月结30天,一般,低,周九,2023-06-08,Active,,,,,,,,
PO0000105,PO-2023060105,2023-06-19,SUP-038,深圳农业喷洒系统公司,M0041,PART-SPRAYER-30L,30升智能喷洒系统,3865,408.91,1580437.15,361.87,1398616.95,0.13,已收货,2023-08-07,2023-07-21,1549665.68,1511294.59,月结45天,核心,低,吴十,2023-06-19,Active,,,,,,,,
PO0000130,PO-2023060130,2023-06-07,SUP-001,芯源微电子股份有限公司,M0099,PART-RES-SMD-0402,0402贴片电阻,837,319.5,267421.5,282.74,236656.19,0.13,已关闭,2023-08-13,2023-08-01,254658.3,245527.62,月结60天,战略,中,王五,2023-06-07,Active,,,,,,,,
PO0000140,PO-2023060140,2023-06-16,SUP-001,芯源微电子股份有限公司,M0100,PART-CAP-SMD-0402,0402贴片电容,3255,384.85,1252686.75,340.58,1108572.35,0.13,已关闭,2023-08-29,2023-08-25,1219797.0,1099846.67,月结60天,战略,中,周九,2023-06-16,Active,,,,,,,,
PO0000142,PO-2023060142,2023-06-01,SUP-027,深圳铝合金精密加工厂,M0103,PART-CRYSTAL-25M,25MHz晶振,1400,294.27,411978.0,260.42,364582.3,0.13,已收货,2023-07-01,2023-06-25,400005.51,376523.59,款到发货,一般,低,赵六,2023-06-01,Active,,,,,,,,
PO0000150,PO-2023060150,2023-06-29,SUP-001,芯源微电子股份有限公司,M0104,PART-POWER-REG-5V-3A,5V 3A稳压模块,797,64.97,51781.09,57.5,45823.97,0.13,已收货,2023-09-17,2023-09-04,49674.41,48427.59,月结60天,战略,中,周九,2023-06-29,Active,,,,,,,,
PO0000199,PO-2023060199,2023-06-18,SUP-001,芯源微电子股份有限公司,M0117,PART-MOSFET-DUAL,双路MOSFET,1811,88.41,160110.51,78.24,141690.72,0.13,已收货,2023-09-05,2023-08-25,153961.11,144801.15,月结60天,战略,中,赵六,2023-06-18,Active,,,,,,,,
PO0000220,PO-2023060220,2023-06-18,SUP-029,包头稀土高新材料公司,M0121,RAW-NEODYMIUM,钕铁硼磁性材料,18962,3.48,65987.76,3.08,58396.25,0.13,已关闭,2023-10-04,2023-09-15,64721.05,61112.1,"预付50%,货到付清",战略,高,吴十,2023-06-18,Active,,,,,,,,
PO0000226,PO-2023060226,2023-06-09,SUP-033,江铜集团铜材公司,M0122,RAW-COPPER-WIRE,铜漆包线,43432,265.18,11517297.76,234.67,10192298.9,0.13,已关闭,2023-07-13,2023-06-26,11343775.78,11037446.62,月结30天,一般,低,孙八,2023-06-09,Active,,,,,,,,
PO0000235,PO-2023060235,2023-06-04,SUP-027,深圳铝合金精密加工厂,M0123,RAW-AL-ALLOY,铝合金材料,6566,92.65,608339.9,81.99,538353.89,0.13,已关闭,2023-06-24,2023-06-25,606849.17,546252.98,款到发货,一般,低,张三,2023-06-04,Active,,,,,,,,
PO0000107,PO-2023070107,2023-07-24,SUP-027,深圳铝合金精密加工厂,M0094,PART-CRYSTAL-8M,8MHz晶振,927,128.18,118822.86,113.43,105152.97,0.13,已关闭,2023-08-16,2023-08-14,117108.25,111439.15,款到发货,一般,低,王五,2023-07-24,Active,,,,,,,,
PO0000204,PO-2023070204,2023-07-10,SUP-032,中芯国际（SMIC）,M0119,RAW-SI-WAFER-8IN,8英寸硅晶圆,41366,282.36,11680103.76,249.88,10336375.01,0.13,已收货,2023-10-17,2023-10-12,11205365.11,11028303.78,月结90天,核心,中,吴十,2023-07-10,Active,,,,,,,,
PO0000216,PO-2023070216,2023-07-27,SUP-031,台积电（TSMC）,M0120,RAW-SI-WAFER-12IN,12英寸硅晶圆,15418,12146.2,187270111.6,10748.85,165725762.48,0.13,已关闭,2023-12-01,2023-11-27,184035844.08,170240319.89,信用证,战略,高,王五,2023-07-27,Active,,,,,,,,
PO0000245,PO-2023070245,2023-07-11,SUP-019,LG化学电池韩国,M0124,RAW-LIPO-CELL,锂聚合物电芯,34229,0.92,31490.68,0.81,27867.86,0.13,已关闭,2023-08-22,2023-08-06,30935.31,29385.11,信用证,核心,中,钱七,2023-07-11,Active,,,,,,,,
